PermitClass,PermitTypeDesc,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,StatusCurrent,OriginalAddress1,OriginalCity,OriginalZip
Multifamily,Addition/Alteration,,,,"45,000",Corrections Required,11737 GREENWOOD AVE N,SEATTLE,98133
Single Family/Duplex,Demolition,2,2,0,"10,000",Awaiting Information,9314 RENTON AVE S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,1,0,0,"90,000",Issued,7527 11th AVE NW,,
Single Family/Duplex,Addition/Alteration,,,,"500,000",Issued,3700 CASCADIA AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"30,000",Issued,6741 15TH AVE SW,SEATTLE,98106
Single Family/Duplex,Demolition,,,,"350,000",Issued,4011 SW THISTLE ST,SEATTLE,98136
Institutional,,0,0,0,"54,000,000",Reviews In Process,3200 23RD AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"18,000",Reviews In Process,6719 12TH AVE NW,SEATTLE,98117
Single Family/Duplex,New,1,1,0,"436,512",Reviews In Process,3032 52ND AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"138,000",Issued,6506 2ND AVE NW,SEATTLE,98117
Single Family/Duplex,New,0,0,6,"289,593",Application Completed,12554 35TH AVE NE,SEATTLE,98125
Multifamily,Demolition,,,,0,Corrections Required,927 N 92ND ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,0,0,0,"125,000",Reviews In Process,9741 57TH AVE S,SEATTLE,98118
Multifamily,Addition/Alteration,,,,"65,000",Issued,6900 EAST GREEN LAKE WAY N,,
Multifamily,New,1,1,8,"2,044,660",Reviews In Process,2029 YALE AVE E,SEATTLE,98102
Multifamily,Addition/Alteration,,,,"3,000",Completed,2911 2ND AVE,SEATTLE,98121
Single Family/Duplex,New,11,1,1,"761,025",Reviews In Process,7731 RIDGE DR NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"150,000",Corrections Required,3904 47TH AVE S,SEATTLE,98118
Single Family/Duplex,New,,,,"509,361",Reviews In Process,4853 42ND AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,0,0,0,"66,922",Awaiting Information,825 NE 95TH ST,SEATTLE,98115
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Multifamily,New,,,,"635,334",Reviews In Process,6210 20TH AVE NW,SEATTLE,98107
Single Family/Duplex,New,,,,"455,586",Reviews In Process,10736 RENTON AVE S,SEATTLE,98178
Single Family/Duplex,Demolition,1,1,0,"350,000",Issued,4427 2ND AVE NW,,
Single Family/Duplex,Addition/Alteration,1,0,1,"139,420",Reviews In Process,332 N 102ND ST,SEATTLE,98133
Single Family/Duplex,Demolition,,,,"400,000",Issued,6820 25TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"35,000",Issued,4207 49TH AVE S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"10,000",Issued,9510 13TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"10,700",Issued,6568 24TH AVE SW,SEATTLE,98106
Commercial,Addition/Alteration,,,,"29,000",Application Completed,100 N 85TH ST,SEATTLE,98103
Institutional,Addition/Alteration,,,,"19,000,000",Reviews In Process,4400 INTERLAKE AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,0,0,0,"15,000",Corrections Required,2810 NW 73RD ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,2,0,0,"25,000",Issued,13239 4TH AVE NW,SEATTLE,98177
Single Family/Duplex,Addition/Alteration,,,,"147,073",Reviews In Process,123 M L KING JR WAY,SEATTLE,98122
Commercial,Tenant Improvment,,,,"82,000",Issued,600 STEWART ST,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,,,,"150,000",Reviews In Process,6711 4TH AVE NW,SEATTLE,98117
Multifamily,New,0,0,97,"12,179,232",Reviews In Process,2720 EASTLAKE AVE E,SEATTLE,98102
Single Family/Duplex,New,1,0,0,"8,000",Issued,5248 37TH AVE NE,SEATTLE,98105
Multifamily,New,,,,"9,597,627",Reviews In Process,318 NICKERSON ST,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,0,0,1,"87,338",Reviews In Process,10052 46TH AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,1,0,0,"48,000",Issued,7509 30TH AVE NE,SEATTLE,98115
Single Family/Duplex,New,1,1,1,"308,085",Reviews In Process,2600 Fairview AVE E,,
Single Family/Duplex,New,1,1,3,"735,602",Reviews In Process,214 29TH AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"250,000",Issued,1000 14th AVE E,,
Single Family/Duplex,Addition/Alteration,,,,"30,000",Issued,5755 SW Admiral WAY,,
Multifamily,New,4,4,18,"741,517",Application Completed,8313 12th AVE NW,,
Commercial,Addition/Alteration,,,,"90,098",Reviews In Process,1110 NW 50TH ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,2,0,0,"75,000",Issued,12720 25TH AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"450,000",Issued,5241 17TH AVE NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,,,,"60,000",Issued,1506 5TH AVE W,SEATTLE,98119
Multifamily,Addition/Alteration,,,,"20,000",Issued,2115 WESTLAKE AVE N,SEATTLE,98109
Single Family/Duplex,New,,,,"564,830",Application Completed,309 NW 89TH ST,SEATTLE,98117
Commercial,Temporary,,,,"750,000",Reviews In Process,3235 16TH AVE SW,SEATTLE,98134
Single Family/Duplex,Addition/Alteration,,,,"45,000",Issued,1801 30TH AVE W,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"25,000",Issued,826 NE 88TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"5,000",Completed,611 16TH AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,1,0,0,"5,000",Ready for Issuance,2008 3RD AVE N,SEATTLE,98109
Multifamily,Addition/Alteration,1,0,0,"100,000",Issued,900 LENORA ST,SEATTLE,98121
Commercial,New,,,,"165,286,780",Reviews In Process,816 MERCER ST,SEATTLE,98109
Single Family/Duplex,Demolition,1,1,0,"638,387.57",Awaiting Information,928 23RD AVE,SEATTLE,98122
Commercial,New,,,,"34,058",Application Completed,1580 Alaskan WAY,,
Multifamily,New,1,1,10,"561,047",Application Completed,6056 41ST AVE SW,SEATTLE,98136
Industrial,Addition/Alteration,0,0,0,"880,000",Issued,1400 DISCOVERY PARK BLVD,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"10,000",Issued,9233 Palatine AVE N,,
Single Family/Duplex,Addition/Alteration,,,,"5,000",Issued,3443 BELVIDERE AVE SW,SEATTLE,98126
Multifamily,New,,,,"1,085,305",Reviews In Process,832 NW 54TH ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,,,,"35,000",Reviews In Process,7602 6TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"68,500",Issued,10823 42ND AVE SW,SEATTLE,98146
Single Family/Duplex,Addition/Alteration,,,,"4,125",Issued,6024 SYCAMORE AVE NW,SEATTLE,98107
Commercial,Addition/Alteration,,,,"600,000",Reviews In Process,800 5TH AVE,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,1,0,0,"40,000",Awaiting Information,6702 EARL AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"200,000",Issued,4933 51ST AVE S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,1,0,0,"84,744",Reviews In Process,11225 LAKESIDE AVE NE,SEATTLE,98125
Single Family/Duplex,New,0,0,4,"511,889",Reviews In Process,914 N 100TH ST,SEATTLE,98133
Commercial,Addition/Alteration,,,,"30,000",Reviews In Process,1515 P S ANGELINE ST,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"7,000",Completed,4106 SW ARROYO CT,,
Industrial,New,,,,"2,794,549",Reviews In Process,2400 11TH AVE E,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,1,0,1,"125,000",Issued,8015 12TH AVE NW,SEATTLE,98117
Single Family/Duplex,Demolition,,,,"100,000",Issued,4001 EVANSTON AVE N,SEATTLE,98103
Single Family/Duplex,New,,,,"568,380",Reviews In Process,1958 BOYER AVE E,SEATTLE,98112
Commercial,Addition/Alteration,0,0,0,"75,000",Issued,2630 NE VILLAGE LN,SEATTLE,98105
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"92,382",Reviews In Process,11739 ROOSEVELT WAY NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"59,378",Reviews In Process,8718 19TH AVE NW,SEATTLE,98117
Multifamily,New,,,,"333,542",Application Completed,2315 N 113TH PL,,
Commercial,Addition/Alteration,0,0,0,"30,000",Reviews In Process,2428 32ND AVE W,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"40,000",Issued,4110 RENTON AVE S,SEATTLE,98108
Commercial,Addition/Alteration,,,,"20,000",Corrections Required,9023 MARY AVE NW,SEATTLE,98117
Multifamily,Addition/Alteration,3,0,0,"100,000",Issued,3085 ALKI AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"90,120",Reviews In Process,5525 S FRONTENAC ST,SEATTLE,98118
Single Family/Duplex,New,1,0,1,"118,255",Corrections Required,711 S DONOVAN ST,SEATTLE,98108
Single Family/Duplex,New,1,1,1,"321,805",Corrections Required,916 N 97TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,1,0,0,"37,819",Issued,5615 SW HANFORD ST,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,1,0,0,"37,040",Reviews In Process,9520 MARY AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"228,000",Issued,1517 29TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,1,0,0,"15,000",Reviews In Process,12038 23RD AVE NE,SEATTLE,98125
Commercial,Addition/Alteration,,,,"35,000",Reviews In Process,5601 6TH AVE S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"10,000",Reviews In Process,617 26TH AVE E,SEATTLE,98112
Single Family/Duplex,New,,,,"1,113,250",Reviews In Process,,,
Single Family/Duplex,Addition/Alteration,0,0,0,"50,498",Reviews In Process,920 24TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,,,,"28,232",Issued,7513 21ST AVE NE,SEATTLE,98115
Multifamily,Demolition,,,,"350,000",Application Completed,922 N 88TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"60,000",Issued,2322 21ST AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"32,000",Issued,9826 34TH AVE SW,SEATTLE,98126
Multifamily,Demolition,,,,"1,303,284",Reviews In Process,902 NW 56TH ST,SEATTLE,98107
Multifamily,New,1,1,7,"1,212,987",Reviews In Process,3102 S WALDEN ST,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"100,000",Reviews In Process,2522 E PINE ST,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,,,,"10,935",Issued,4055 SW MYRTLE ST,SEATTLE,98136
Commercial,Addition/Alteration,,,,"17,000",Issued,2625 NE VILLAGE LN,,
Single Family/Duplex,Addition/Alteration,,,,"100,000",Withdrawn,3447 11TH AVE W,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,,,,"10,000",Issued,7039 13TH AVE SW,SEATTLE,98106
Commercial,Addition/Alteration,,,,"150,000",Awaiting Information,2131 7TH AVE,SEATTLE,98121
Commercial,Addition/Alteration,,,,"20,000",Reviews In Process,120 23RD AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,1,1,1,"86,078",Reviews In Process,636 NW 86TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"108,950",Awaiting Information,2121 45TH AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"42,671",Issued,1830 31ST AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,1,0,0,"30,290",Corrections Required,4810 S ANGELINE ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"19,600",Issued,3208 W FORT ST,SEATTLE,98199
Multifamily,Addition/Alteration,,,,"45,000",Issued,7151 FAUNTLEROY WAY SW,SEATTLE,98136
Single Family/Duplex,Addition/Alteration,,,,"15,000",Issued,1249 BIGELOW AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,1,0,0,"40,000",Issued,6516 36TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"56,581",Ready for Issuance,1139 33RD AVE E,SEATTLE,98112
Commercial,Addition/Alteration,,,,"50,000",Issued,1823 EASTLAKE AVE E,SEATTLE,98102
Commercial,Addition/Alteration,,,,"74,000",Issued,2675 NE village LN,,
Single Family/Duplex,Addition/Alteration,,,,"4,155",Issued,1410 N 40TH ST,SEATTLE,98103
Commercial,Addition/Alteration,0,0,0,"75,000",Issued,2614 NE UNIVERSITY VILLAGE ST,SEATTLE,98105
Commercial,Addition/Alteration,,,,"7,500",Ready for Issuance,4709 California AVE SW,,
Single Family/Duplex,New,1,1,3,"409,612",Reviews In Process,6726 17TH AVE NW,SEATTLE,98117
Single Family/Duplex,New,,,,"37,000",Issued,725 N 76TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"30,000",Issued,3547 NW 67TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"20,000",Issued,126 N 144TH ST,SEATTLE,98133
Single Family/Duplex,New,,,,"576,061",Application Completed,10348 Wallingford AVE N,SEATTLE,
Single Family/Duplex,Addition/Alteration,,,,"15,000",Reviews In Process,3134 EAST LAURELHURST DR NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,,,,"75,125",Reviews In Process,2014 Warren AVE N,,
Single Family/Duplex,Addition/Alteration,1,0,0,"70,000",Issued,7511 41ST AVE NE,SEATTLE,98115
Commercial,Addition/Alteration,0,0,0,"148,806",Reviews In Process,2026 NW MARKET ST,SEATTLE,98107
Multifamily,Addition/Alteration,,,,"15,000",Awaiting Information,2717 Franklin AVE E,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,,,,"20,000",Issued,6425 32ND AVE S,SEATTLE,98118
Institutional,Addition/Alteration,,,,"168,000",Ready for Issuance,1550 N 115th ST,,
Single Family/Duplex,Demolition,,,,"1,350,000",Awaiting Information,847 NW 57TH ST,SEATTLE,98107
Industrial,Addition/Alteration,,,,"45,000",Application Completed,3031 S WALDEN ST,SEATTLE,98144
Single Family/Duplex,Demolition,,,,"715,000",Awaiting Information,922 NW 56TH ST,SEATTLE,98107
Multifamily,Addition/Alteration,,,,"85,000",Issued,1301 SPRING ST,SEATTLE,98104
Multifamily,Addition/Alteration,,,,"72,000",Issued,1800 NE 47th ST,,
Institutional,,0,0,0,"54,000,000",Reviews In Process,3200 23RD AVE S,SEATTLE,98144
Single Family/Duplex,New,1,1,2,"571,684",Reviews In Process,2809 NW 71ST ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,1,"139,656",Application Completed,515 NE 92ND ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"10,000",Corrections Required,201 PROSPECT ST,SEATTLE,98109
Multifamily,Addition/Alteration,1,0,0,"35,000",Issued,530 W OLYMPIC PL,SEATTLE,98119
Multifamily,New,1,1,7,"473,253",Application Completed,7712 M L KING JR WAY S,SEATTLE,98118
Commercial,Tenant Improvment,,,,"550,000",Issued,2101 7TH AVE,SEATTLE,98121
Single Family/Duplex,New,,,,"671,649",Reviews In Process,206 N 100TH ST,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,,,,"49,000",Issued,3209 46TH AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"62,000",Issued,4126 WOODLAND PARK AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,1,0,0,"300,000",Reviews In Process,3829 49TH AVE SW,SEATTLE,98116
Institutional,Addition/Alteration,,,,"21,000",Issued,1134 33RD AVE,SEATTLE,98122
Single Family/Duplex,Demolition,0,1,0,"350,000",Issued,3037 12TH AVE W,,
Single Family/Duplex,Addition/Alteration,,,,"50,000",Issued,5018 WOODLAWN AVE N,SEATTLE,98103
Commercial,Demolition,0,0,120,"27,000,000",Reviews In Process,8610 AURORA AVE N,SEATTLE,98103
Multifamily,New,,,,"501,331",Reviews In Process,912 NW 56TH ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,0,0,0,"16,000",Reviews In Process,3509 SW MONROE ST,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,,,,"190,000",Issued,3412 E HOWELL ST,SEATTLE,98122
Commercial,Addition/Alteration,,,,"125,000",Awaiting Information,4545 15TH AVE NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,1,0,0,"75,000",Ready for Issuance,6226 Woodlawn AVE N,,
Multifamily,New,1,1,6,"400,000",Application Completed,5400 9TH AVE NW,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,1,0,0,"137,391",Issued,1249 NE 69TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Issued,2664 BELVIDERE AVE SW,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,,,,"100,000",Issued,2807 26TH AVE W,SEATTLE,98199
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,New,0,0,1,"170,787",Corrections Required,3418 NW 64TH ST,SEATTLE,98107
Single Family/Duplex,New,1,0,2,"334,122",Reviews In Process,4007 Midvale AVE N,,
Industrial,,,,,"1,210,000",Corrections Required,8111 1ST AVE S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,1,0,0,"150,000",Issued,8309 9th AVE NW,,
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Issued,4101 NE 103RD PL,,
Single Family/Duplex,Addition/Alteration,1,0,0,"14,113",Reviews In Process,5243 S PEARL ST,SEATTLE,98118
Commercial,Addition/Alteration,0,0,0,"225,000",Reviews In Process,401 TERRY AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"4,155",Completed,2108 29TH AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"133,200",Corrections Required,1732 NW 97TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,1,"200,000",Reviews In Process,6817 49TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"40,000",Issued,7054 MARY AVE NW,,
Industrial,Addition/Alteration,,,,"125,000",Issued,1100 FAIRVIEW AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"91,260",Reviews In Process,1940 5th AVE W,,
Single Family/Duplex,Addition/Alteration,1,0,0,"114,806",Awaiting Information,3631 49TH AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"40,000",Corrections Required,1932 35TH AVE W,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"150,000",Issued,6732 55TH AVE S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"9,500",Issued,11245 35TH AVE SW,SEATTLE,98146
Single Family/Duplex,New,,,,"778,920",Reviews In Process,2545 NE 92ND ST,SEATTLE,98115
Commercial,Addition/Alteration,,,,"340,000",Reviews In Process,409 FAIRVIEW AVE N,,
Single Family/Duplex,Addition/Alteration,,,,1,Application Completed,2507 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"50,000",Issued,3402 33RD AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"120,000",Issued,6210 25th AVE NE,,
Single Family/Duplex,New,0,0,1,"379,911",Issued,2130 N 62ND ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"15,000",Issued,8844 31ST AVE SW,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,,,,"40,000",Issued,8302 STONE AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"52,073",Issued,7150 46TH PL SW,SEATTLE,98136
Commercial,Addition/Alteration,,,,"1,900,000",Reviews In Process,1900 9TH AVE,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,,,,"12,000",Reviews In Process,4418 SW GRAHAM ST,SEATTLE,98136
Single Family/Duplex,Addition/Alteration,1,0,0,"70,000",Issued,3403 HUNTER BLVD S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"10,000",Corrections Required,3712 BELVIDERE AVE SW,SEATTLE,98126
Multifamily,New,,,,"1,114,190",Reviews In Process,5612 9TH AVE NW,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,,,,"12,000",Completed,6529 21ST AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"6,000",Issued,1027 SUMMIT AVE E,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,,,,"35,000",Reviews In Process,806 29TH AVE S,SEATTLE,98144
Institutional,Addition/Alteration,0,0,0,"1,187,819",Corrections Required,301 2nd AVE S,,
Single Family/Duplex,Addition/Alteration,,,,"5,000",Issued,3410 28th AVE W,,
Commercial,Addition/Alteration,0,0,0,"4,500",Completed,2031 7TH AVE,SEATTLE,98121
Commercial,Tenant Improvment,,,,"40,000",Corrections Required,711 2ND AVE,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,,,,"40,000",Issued,2304 22ND AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,1,0,0,"4,500",Issued,8041 12th AVE NE,,
Single Family/Duplex,Addition/Alteration,,,,"25,000",Completed,9622 12TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"70,000",Issued,5543 37TH AVE NE,,
Institutional,Addition/Alteration,,,,"150,000",Reviews In Process,3210 SW 106TH ST,SEATTLE,98146
Single Family/Duplex,Addition/Alteration,0,0,0,"150,000",Corrections Required,2326 ROSEMONT PL W,SEATTLE,98199
Single Family/Duplex,New,,,,"384,041",Application Completed,10344 WALLINGFORD AVE N,SEATTLE,98133
Multifamily,Addition/Alteration,16,0,0,"93,000",Issued,2125 California AVE SW,,
Single Family/Duplex,Addition/Alteration,0,0,1,"218,730",Reviews In Process,12228 densmore AVE N,,
Single Family/Duplex,Addition/Alteration,,,,"25,000",Issued,312 N 45TH ST,SEATTLE,98103
Single Family/Duplex,Demolition,1,1,0,"715,000",Awaiting Information,916 NW 56TH ST,SEATTLE,98107
Commercial,Addition/Alteration,0,0,0,"150,000",Issued,2614 NE UNIVERSITY VILLAGE ST,SEATTLE,98105
Single Family/Duplex,New,,,,"476,493",Reviews In Process,8752 DAYTON AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"49,000",Issued,4729 University View PL NE,,
Institutional,New,,,,"83,884,958",Reviews In Process,1550 N 115th ST,,
Commercial,Addition/Alteration,,,,"30,000",Issued,719 2ND AVE,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,0,0,0,"18,750",Issued,8760 SAND POINT WAY NE,SEATTLE,98115
Single Family/Duplex,New,0,0,1,"417,604",Reviews In Process,307 29TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,,,,"4,125",Completed,5900 44TH AVE SW,SEATTLE,98136
Commercial,Tenant Improvment,,,,"4,500,000",Reviews In Process,635 ELLIOTT AVE W,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,1,0,0,"22,000",Issued,4520 48TH AVE S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,1,0,0,"128,675",Reviews In Process,1722 BIGELOW AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"80,000",Issued,6006 35TH AVE NE,SEATTLE,98115
Single Family/Duplex,New,1,1,3,"393,712",Reviews In Process,9524 3RD AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,1,"156,108",Reviews In Process,2515 NE 54TH ST,SEATTLE,98105
Single Family/Duplex,Demolition,,,,"555,000",Issued,1524 5TH AVE W,SEATTLE,98119
Single Family/Duplex,New,1,1,1,"484,628",Reviews In Process,113 NW 76TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,0,0,0,"169,080",Reviews In Process,418 26TH AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"8,500",Completed,410 W MCGRAW ST,SEATTLE,98119
Multifamily,Addition/Alteration,0,0,0,"11,543",Issued,3215 NE 143RD ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"22,000",Issued,768 N 75TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"349,208",Reviews In Process,3201 31st AVE W,,
Single Family/Duplex,Addition/Alteration,1,0,0,"14,000",Issued,3716 35TH AVE SW,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,,,,500,Issued,8032 12th AVE NW,SEATTLE,98117
Institutional,Addition/Alteration,0,0,0,"1,700,000",Reviews In Process,201 THOMAS ST,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,1,0,1,"260,442",Reviews In Process,1606 BOYER AVE E,SEATTLE,98112
Multifamily,New,,,,"410,087",Application Completed,9209 14TH AVE NW,SEATTLE,98117
Single Family/Duplex,New,1,1,3,"559,048",Reviews In Process,10522 FREMONT AVE N,SEATTLE,98133
Commercial,Addition/Alteration,,,,"15,000",Reviews In Process,4515 M L KING JR WAY S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,1,0,0,"20,000",Issued,1000 Union ST,,
Single Family/Duplex,Addition/Alteration,1,0,1,"171,395",Reviews In Process,611 16TH AVE E,SEATTLE,98112
Single Family/Duplex,New,,,,"486,707",Reviews In Process,1047 NE 100TH ST,SEATTLE,98125
Commercial,Tenant Improvment,,,,"60,000",Issued,1301 5TH AVE,SEATTLE,98101
Single Family/Duplex,New,,,,"264,917",Application Completed,4626 S ORCHARD ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"100,000",Issued,8316 10TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"33,195",Issued,4131 SW ROSE ST,SEATTLE,98136
Commercial,Demolition,,,,0,Issued,412 QUEEN ANNE AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"8,000",Completed,4800 37TH AVE NE,,
Multifamily,New,1,1,9,"731,669",Application Completed,7035 DELRIDGE WAY SW,SEATTLE,98106
Single Family/Duplex,New,3,3,3,"645,879",Reviews In Process,762 N 65TH ST,SEATTLE,98103
Multifamily,New,,,,"194,067",Application Completed,922 N 88TH ST,SEATTLE,98103
Single Family/Duplex,New,1,1,3,"656,141",Reviews In Process,7721 16TH AVE SW,SEATTLE,98106
Single Family/Duplex,Addition/Alteration,,,,"8,500",Issued,2622 1ST AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"111,537",Reviews In Process,11510 17TH AVE NE,SEATTLE,98125
Multifamily,New,0,0,340,"120,108,956",Reviews In Process,1370 STEWART ST,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,1,0,1,"142,237",Corrections Required,857 NW 65TH ST,SEATTLE,98117
Single Family/Duplex,New,1,1,2,"333,984",Application Completed,10302 INTERLAKE AVE N,SEATTLE,98133
Commercial,Addition/Alteration,0,0,0,"25,000",Corrections Required,1229 MADISON ST,SEATTLE,98104
Single Family/Duplex,New,,,,"431,703",Reviews In Process,5545 KENWOOD PL N,SEATTLE,98103
Commercial,Addition/Alteration,,,,"50,000",Reviews In Process,4205 SW MORGAN ST,SEATTLE,98136
Single Family/Duplex,Addition/Alteration,,,,"169,266",Corrections Required,1717 S SHELTON ST,SEATTLE,98108
